date,location_id,lat,lon,pr_mm_per_day
2010-01-02,8454123,41.61122,-71.41031,0.5497503665516345
2010-01-02,8461490,41.371666,-72.09556,0.808111265851301
2010-01-03,01108000,41.933982,-70.95643,0.66972026614463
2010-01-03,01108410,41.89969,-71.089466,0.37885920094070535
2010-01-03,01109000,41.947592,-71.176715,0.22749925954270978
2010-01-03,01109060,41.866204,-71.122823,0.37614143347846546
2010-01-03,01109070,41.84037,-71.142823,0.3541379287644483
2010-01-03,01109403,41.830925,-71.350331,0.23450558189307738
2010-01-03,01109730,42.188975,-71.765069,1.5648300659290957
2010-01-03,01110000,42.230363,-71.710902,1.4426526540389097
2010-01-03,01111212,42.054811,-71.616453,0.1783703277632033
2010-01-03,01111300,41.981201,-71.6859,0.10994539900653712
2010-01-03,01111500,41.996479,-71.562007,0.09212149293898313
2010-01-03,01112500,42.006478,-71.502561,0.21766392780384397
2010-01-03,01113895,41.888424,-71.381444,0.31829512420294614
2010-01-03,01114000,41.83398,-71.410611,0.23570349034490476
2010-01-03,01114500,41.85898,-71.487282,0.2258084495562132
2010-01-03,01115098,41.852591,-71.606175,0.12875604554599554
2010-01-03,01115110,41.845646,-71.609508,0.13160604411243362
2010-01-03,01115114,41.837591,-71.612008,0.13369269184162003
2010-01-03,01115170,41.840924,-71.584507,0.1396911152381844
2010-01-03,01115183,41.797591,-71.584785,0.15544506276004338
2010-01-03,01115185,41.836201,-71.722568,0.04356744157412412
2010-01-03,01115187,41.818702,-71.705067,0.07451234626529284
2010-01-03,01115190,41.822313,-71.700345,0.07695323360565054
2010-01-03,01115265,41.790646,-71.698678,0.0981732550689227
2010-01-03,01115276,41.785369,-71.667288,0.12590739334777362
2010-01-03,01115278,41.796791,-71.66943,0.11936777578571518
2010-01-03,01115280,41.80398,-71.649787,0.13386949936677348
2010-01-03,01115500,41.732869,-71.549784,0.18501688793913626
2010-01-03,01115630,41.626758,-71.632564,0.09797214310687063
2010-01-03,01116000,41.690092,-71.565895,0.17372531813223935
2010-01-03,01116500,41.750925,-71.445057,0.18579971859297598
2010-01-03,01116905,41.629991,-71.478888,0.199436377391901
2010-01-03,01117000,41.641204,-71.444501,0.22603169987533855
2010-01-03,01117350,41.482196,-71.551151,0.07411431860504136
2010-01-03,01117370,41.538981,-71.568672,0.09925195718869972
2010-01-03,01117420,41.476641,-71.604763,0.0629607477087775
2010-01-03,01117430,41.446086,-71.621153,0.059305399387033955
2010-01-03,01117468,41.492592,-71.628119,0.06225579008448079
2010-01-03,01117500,41.444975,-71.680877,0.07665593516122303
2010-01-03,01117800,41.57398,-71.720622,0.08823639184315803
2010-01-03,01118000,41.498147,-71.716455,0.08435856318234733
2010-01-03,01118300,41.474814,-71.834235,0.16475812736280745
2010-01-03,01118500,41.385254,-71.832549,0.1402373478443786
2010-01-03,01123360,42.108366,-72.12613,1.3258003066635227
2010-01-03,01123600,42.082611,-72.05838,1.27917012469107
2010-01-03,01124000,42.022193,-71.955604,0.6085622014248135
2010-01-03,01124151,41.943558,-71.899596,0.372381090083981
2010-01-03,01125100,41.978455,-71.900513,0.4937740282338956
2010-01-03,01125490,41.927836,-71.930008,0.3441727004910421
2010-01-03,01125500,41.909466,-71.913863,0.28550535256736126
2010-01-03,01127000,41.597483,-71.984094,0.10195662596418842
2010-01-03,8444069,42.340862,-71.01234,0.2318675165743217
2010-01-03,8447386,41.7043,-71.1641,0.7296494798173117
2010-01-03,8447387,41.705,-71.1733,0.7150892575145628
2010-01-03,8447412,41.695835,-71.17983,0.7938445294677622
2010-01-03,8447627,41.624443,-70.90544,0.4243816890834493
2010-01-03,8447636,41.6212,-70.9137,0.4221295683805748
2010-01-03,8452314,41.605118,-71.30424,0.5348128513261581
2010-01-03,8452660,41.504333,-71.32614,0.2625490387759627
2010-01-03,8452944,41.7167,-71.3433,0.2482587594865798
2010-01-03,8452951,41.637165,-71.33928,0.3857261702387356
2010-01-03,8453662,41.785694,-71.38308,0.20856801465109823
2010-01-03,8454000,41.807167,-71.400665,0.22035673653051266
2010-01-03,8454123,41.61122,-71.41031,0.23138960982842174
2010-01-03,8461490,41.371666,-72.09556,1.0547805892866675
2010-01-04,01108000,41.933982,-70.95643,0.14672050707702097
2010-01-04,01108410,41.89969,-71.089466,0.41301059573670795
2010-01-04,01109000,41.947592,-71.176715,0.4418250511877683
2010-01-04,01109060,41.866204,-71.122823,0.5694575324203435
2010-01-04,01109070,41.84037,-71.142823,0.7278651098797229
2010-01-04,01109403,41.830925,-71.350331,0.26752039521388965
2010-01-04,01109730,42.188975,-71.765069,1.5224147412627151
2010-01-04,01110000,42.230363,-71.710902,2.009946472673677
2010-01-04,01111212,42.054811,-71.616453,0.6157073776750759
2010-01-04,01111300,41.981201,-71.6859,0.6389414660614474
2010-01-04,01111500,41.996479,-71.562007,0.4861572095979588
2010-01-04,01112500,42.006478,-71.502561,0.34775963048771363
2010-01-04,01113895,41.888424,-71.381444,0.25838449921671236
2010-01-04,01114000,41.83398,-71.410611,0.15061065115965808
2010-01-04,01114500,41.85898,-71.487282,0.10007510321113888
2010-01-04,01115098,41.852591,-71.606175,0.11104291869803828
2010-01-04,01115110,41.845646,-71.609508,0.10386472083826344
2010-01-04,01115114,41.837591,-71.612008,0.11146123511776262
2010-01-04,01115170,41.840924,-71.584507,0.09047698422559443
2010-01-04,01115183,41.797591,-71.584785,0.1135550556119705
2010-01-04,01115185,41.836201,-71.722568,0.23869757288647367
2010-01-04,01115187,41.818702,-71.705067,0.21339127282915893
2010-01-04,01115190,41.822313,-71.700345,0.20856478576326393
2010-01-04,01115265,41.790646,-71.698678,0.20841076240234233
2010-01-04,01115276,41.785369,-71.667288,0.19848185626460843
2010-01-04,01115278,41.796791,-71.66943,0.19173432043827482
2010-01-04,01115280,41.80398,-71.649787,0.17311330336526087
2010-01-04,01115500,41.732869,-71.549784,0.11145660042365549
2010-01-04,01115630,41.626758,-71.632564,0.48026794366592335
2010-01-04,01116000,41.690092,-71.565895,0.20046304278811675
2010-01-04,01116500,41.750925,-71.445057,0.11128182692006948
2010-01-04,01116905,41.629991,-71.478888,0.2824679000596004
2010-01-04,01117000,41.641204,-71.444501,0.3528447699423862
2010-01-04,01117350,41.482196,-71.551151,0.35525375192332265
2010-01-04,01117370,41.538981,-71.568672,0.3538911972774624
2010-01-04,01117420,41.476641,-71.604763,0.4597189594614386
2010-01-04,01117430,41.446086,-71.621153,0.46142423735783816
2010-01-04,01117468,41.492592,-71.628119,0.5184450858807101
2010-01-04,01117500,41.444975,-71.680877,1.0518494035602375
2010-01-04,01117800,41.57398,-71.720622,1.3523893044933666
2010-01-04,01118000,41.498147,-71.716455,1.6623398171517343
2010-01-04,01118300,41.474814,-71.834235,2.5816561741146113
2010-01-04,01118500,41.385254,-71.832549,1.292514546066518
2010-01-04,01123360,42.108366,-72.12613,0.5122301508499634
2010-01-04,01123600,42.082611,-72.05838,0.3565823931455195
2010-01-04,01124000,42.022193,-71.955604,0.44349613513496255
2010-01-04,01124151,41.943558,-71.899596,0.5340120999511604
2010-01-04,01125100,41.978455,-71.900513,0.5189786098002023
2010-01-04,01125490,41.927836,-71.930008,0.6062762839299578
